Operation,Op Time (s),Transfer Time (s),Num Ops,Total Op Time (s)
Total Time,2.9756925830006367
Binary,0.049747311146347784,0.04653844395943452,156,0.09833827009424567
Unary,0.014254840061767027,0.0012181230267742649,87,2.1351583750365535
Equal Matmul,0.003392446000361815,0.022645504082902335,28,0.08951712500129361
Unequal Matmul,0.1937012020352995,0.017532140846014954,52,0.25510056702478323
Clamp,0.02014453598530963,0.0567603539529955,128,0.08280080804252066
