Operation,Op Time (s),Transfer Time (s),Num Ops,Total Op Time (s)
Total Time,0.2444899519905448
Binary,0.0034088719985447824,0,156,0.003510685986839235
Unary,8.013195474632084e-05,0,87,0.00013074192975182086
Equal Matmul,0.001374550978653133,0,28,0.03646129503613338
Unequal Matmul,0.008167682026396506,0,52,0.014937300962628797
Clamp,0.00338486599503085,0,128,0.004398090939503163
