Operation,Op Time (s),Transfer Time (s),Num Ops,Total Op Time (s)
Total Time,12.48350354199647
Binary,0.4492086081590969,0,432,0.4495816948619904
Unary,0.00019695996888913214,0,270,0.0003183390654157847
Equal Matmul,0.9317482870683307,0,96,8.886510684955283
Unequal Matmul,0.846859785990091,0,154,1.8542613769241143
Clamp,0.4683364491065731,0,392,0.47556438099127263
