Operation,Op Time (s),Transfer Time (s)
Total Time,1.5547610176727176
Binary,0.038975789211690426,0.2778595732524991
Unary,0.009711426682770252,0
Equal Matmul,0.012820640113204718,0
Unequal Matmul,0.33294845232740045,0
Clamp,0.03157827677205205,0
