Operation,Op Time (s),Transfer Time (s),Num Ops,Total Op Time (s),Tensor Time (s)
Total Time,2.8439683579927078
Binary,0.024428151082247496,0,996,0.025047125833225437,3064,0.36497044563293457,3053,0.3594543933868408,4099,0.06298255920410156,1018,0.03690838813781738,1274,0.06117129325866699,11,5.9604644775390625e-06,11,6.437301635742188e-05,3064,0.0008275508880615234
Unary,0.0004729279753519222,0,668,0.0008357440383406356,0.006396055221557617
Equal Matmul,0.08718693001719657,0,440,0.09550630894955248,1.1772370338439941
Unequal Matmul,0.020790739043150097,0,374,0.05629748024512082,1.1772370338439941
Clamp,0.023530329242930748,0,968,0.03477249894058332,0.049704790115356445
