Operation,Op Time (s),Transfer Time (s)
Total Time,4.481557586230338
Binary,0.24371413374319673,0
Unary,0.00021346844732761383,0
Equal Matmul,0.2549119293689728,0
Unequal Matmul,0.3624670635908842,0
Clamp,0.5215757330879569,0
