Operation,Op Time (s),Transfer Time (s)
Total Time,12.773962881416082
Binary,0.06603359803557396,1.9644032772630453
Unary,0.015086931642144918,0.002259503584355116
Equal Matmul,0.0141529799439013,1.1764656621962786
Unequal Matmul,0.2177051417529583,0.41046317713335156
Clamp,0.038219752721488476,4.892133677378297
