Operation,Op Time (s),Transfer Time (s),Num Ops,Total Op Time (s)
Total Time,2.3327443470043363
Binary,0.018103421054547653,2.0021590780379483,156,0.019179469993105158
Unary,0.006292454010690562,0,87,0.007013794020167552
Equal Matmul,0.0028952499851584435,0,28,0.03766082096262835
Unequal Matmul,0.11461289205180947,0,52,0.13297712706844322
Clamp,0.011133642954519019,0,128,0.01311854000960011
